player,team,position,role,owner_status,roster_status,age,fpts,fpg_raw,fpg_regressed,ros_pct,rkov,estimated_games,sample_confidence,win_now_score,dynasty_score,dynasty_minus_win_now,forward_fpg,ros_vor,ip,ip_pct,whip,k_per_9,qs_rate,prospect_bonus,age_curve,mlb_overall_rank,mlb_org_rank,asset_value,asset_confidence,baseline_confidence,career_baseline,two_way,asset_blend_alpha,prospect_phase,prospect_bonus_applied,dynasty_gap,dynasty_signal
Kyle Schwarber,PHI,UT,H,Jpanner,Active,33.0,316.5,3.3,3.3,100.0,18.0,95.91,1.0,92.97,73.67,-19.3,3.3,0.85,,,,,,0.0,-5.0,,,74.2,HIGH,1.0,3.6,False,0.6,0.0,0.0,-11.8,ALIGNED
Taj Bradley,MIN,SP,SP,Sethmc44,Active,25.0,232.0,12.21,12.21,94.0,129.0,19.0,1.0,92.94,84.55,-8.39,12.21,3.94,107.2,94.13,1.26,10.41,0.42,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Hunter Goodman,COL,C,H,JMerkle,Active,26.0,286.5,3.11,3.11,99.0,41.0,92.12,1.0,92.91,77.56,-15.35,3.11,0.66,,,,,,0.0,6.0,,,73.8,HIGH,1.0,2.63,False,0.6,0.0,0.0,19.6,BUY_LOW
Payton Tolle,BOS,"SP,RP",SP/RP,kyfaess,Active,23.0,204.0,13.6,9.68,91.0,178.0,15.0,0.62,92.85,82.98,-9.87,9.68,1.42,84.0,84.2,1.07,9.32,0.53,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Byron Buxton,MIN,OF,H,zyoung51,Active,32.0,274.5,3.61,3.61,99.0,60.0,76.04,1.0,92.82,77.07,-15.76,3.61,1.16,,,,,,0.0,-5.0,,,80.6,HIGH,1.0,3.54,False,0.6,0.0,0.0,18.1,BUY_LOW
Bryan Woo,SEA,SP,SP,Hutch,Active,26.0,225.0,11.84,11.84,99.0,142.0,19.0,1.0,92.58,73.64,-18.94,11.84,3.57,110.1,94.99,1.09,8.91,0.58,0.0,5.0,,,69.4,HIGH,1.0,15.16,False,0.6,0.0,0.0,-17.2,SELL_HIGH
Elly De La Cruz,CIN,SS,H,KRetiree,Active,24.0,263.5,3.34,3.34,100.0,74.0,78.89,1.0,92.05,93.62,1.57,3.34,0.89,,,,,,0.0,12.0,,,97.2,HIGH,1.0,3.19,False,0.6,0.0,0.0,-1.5,ALIGNED
JJ Wetherholt,STL,"2B,SS",H,joeybats,Active,23.0,286.0,3.08,3.08,99.0,43.0,92.86,1.0,92.05,89.13,-2.93,3.08,0.63,,,,,,0.0,12.0,,,91.3,LOW,0.28,2.82,False,0.168,0.72,0.0,10.4,ALIGNED
Bryce Miller,SEA,SP,SP,Hutch,Active,27.0,181.0,16.45,16.45,96.0,225.0,11.0,1.0,91.9,47.73,-44.17,16.45,8.18,63.1,77.12,0.89,10.13,0.27,0.0,5.0,,,24.2,HIGH,0.93,9.93,False,0.558,0.07,0.0,-22.3,SELL_HIGH
Willson Contreras,BOS,1B,H,zyoung51,Active,34.0,290.5,3.19,3.19,98.0,35.0,91.07,1.0,91.9,42.91,-48.99,3.19,0.74,,,,,,0.0,-5.0,,,23.8,HIGH,1.0,2.76,False,0.6,0.0,0.0,,NO_CONSENSUS
Mike Trout,LAA,"OF,UT",H,JMerkle,Active,34.0,272.5,3.36,3.36,99.0,62.0,81.1,1.0,91.84,50.94,-40.9,3.36,0.91,,,,,,0.0,-5.0,,,34.9,HIGH,0.93,2.87,False,0.558,0.07,0.0,-2.9,ALIGNED
Casey Mize,DET,SP,SP,GoldTY,Active,29.0,202.0,13.47,13.47,94.0,185.0,15.0,1.0,91.82,72.82,-19.0,13.47,5.2,80.2,81.78,1.03,9.2,0.47,0.0,0.0,,,,,,,,0.0,1.0,0.0,,
Randy Arozarena,SEA,OF,H,Kipp,Active,31.0,290.5,3.16,3.16,99.0,34.0,91.93,1.0,91.81,65.43,-26.37,3.16,0.71,,,,,,0.0,0.0,,,57.9,HIGH,1.0,2.88,False,0.6,0.0,0.0,-6.0,ALIGNED
Brandon Lowe,PIT,2B,H,zyoung51,Active,32.0,286.0,3.11,3.11,99.0,42.0,91.96,1.0,91.63,55.47,-36.16,3.11,0.66,,,,,,0.0,-5.0,,,44.8,HIGH,1.0,2.81,False,0.6,0.0,0.0,34.1,BUY_LOW
Bryce Harper,PHI,1B,H,GoldTY,Active,33.0,306.5,3.06,3.06,100.0,25.0,100.16,1.0,91.61,67.62,-24.0,3.06,0.61,,,,,,0.0,-5.0,,,64.7,HIGH,1.0,3.17,False,0.6,0.0,0.0,-20.9,SELL_HIGH
Alec Burleson,STL,"1B,OF",H,Hutch,Active,27.0,299.5,3.09,3.09,99.0,28.0,96.93,1.0,91.6,73.84,-17.76,3.09,0.64,,,,,,0.0,6.0,,,67.9,HIGH,1.0,2.65,False,0.6,0.0,0.0,,NO_CONSENSUS
Davis Martin,CHW,SP,SP,KRetiree,Active,29.0,225.0,11.84,11.84,91.0,141.0,19.0,1.0,91.56,44.91,-46.65,11.84,3.57,106.0,93.44,1.27,8.24,0.53,0.0,0.0,,,17.9,HIGH,0.85,9.52,False,0.51,0.15,0.0,,NO_CONSENSUS
Jose Soriano,LAA,SP,SP,CLANK,Active,27.0,222.0,11.1,11.1,97.0,147.0,20.0,1.0,91.48,45.38,-46.11,11.1,2.83,111.0,95.94,1.29,9.32,0.35,0.0,5.0,,,23.0,HIGH,1.0,9.66,False,0.6,0.0,0.0,,NO_CONSENSUS
Shea Langeliers,ATH,C,H,zyoung51,Active,28.0,272.0,3.06,3.06,100.0,63.0,88.89,1.0,91.48,82.36,-9.12,3.06,0.61,,,,,,0.0,0.0,,,86.5,HIGH,1.0,2.99,False,0.6,0.0,0.0,39.3,BUY_LOW
Eury Perez,MIA,SP,SP,Coop,Active,23.0,203.0,11.94,11.94,98.0,184.0,17.0,1.0,91.29,83.28,-8.01,11.94,3.67,91.2,86.53,1.12,10.26,0.41,0.0,10.0,,,,,,,,0.0,1.0,0.0,,
Michael King,SD,SP,SP,JMerkle,Active,31.0,221.0,11.05,11.05,98.0,151.0,20.0,1.0,91.27,44.81,-46.46,11.05,2.78,113.1,97.32,1.16,7.64,0.45,0.0,0.0,,,25.4,HIGH,1.0,11.93,False,0.6,0.0,0.0,-40.2,SELL_HIGH
Shota Imanaga,CHC,SP,SP,zyoung51,Active,32.0,221.0,11.05,11.05,98.0,153.0,20.0,1.0,91.24,42.87,-48.37,11.05,2.78,115.0,97.84,1.11,8.53,0.4,0.0,-6.0,,,26.2,HIGH,1.0,12.62,False,0.6,0.0,0.0,-24.0,SELL_HIGH
Drake Baldwin,ATL,C,H,CLANK,Active,25.0,248.5,3.31,3.31,99.0,97.0,75.08,1.0,91.22,81.16,-10.06,3.31,0.86,,,,,,0.0,6.0,,,,,,,,0.0,1.0,0.0,,
Ketel Marte,ARI,2B,H,Hutch,Active,32.0,289.0,3.04,3.04,100.0,39.0,95.07,1.0,91.16,74.79,-16.38,3.04,0.59,,,,,,0.0,-5.0,,,77.0,HIGH,1.0,3.39,False,0.6,0.0,0.0,-14.6,ALIGNED
George Kirby,SEA,SP,SP,CLANK,Active,28.0,204.0,11.33,11.33,99.0,177.0,18.01,1.0,91.07,52.09,-38.98,11.33,3.06,110.0,94.73,1.32,8.02,0.61,0.0,5.0,,,34.5,HIGH,1.0,11.26,False,0.6,0.0,0.0,-46.1,SELL_HIGH
Pete Alonso,BAL,1B,H,Greenbet,Active,31.0,300.5,3.0,3.0,100.0,27.0,100.17,1.0,90.86,72.74,-18.12,3.0,0.55,,,,,,0.0,0.0,,,70.2,HIGH,1.0,3.01,False,0.6,0.0,0.0,-19.4,SELL_HIGH
Corbin Carroll,ARI,OF,H,Sethmc44,Active,25.0,291.0,3.03,3.03,100.0,32.0,96.04,1.0,90.85,92.01,1.17,3.03,0.58,,,,,,0.0,6.0,,,98.4,HIGH,1.0,3.62,False,0.6,0.0,0.0,-0.6,ALIGNED
Andy Pages,LAD,OF,H,Hutch,Active,25.0,298.5,3.02,3.02,99.0,30.0,98.84,1.0,90.71,79.57,-11.14,3.02,0.57,,,,,,0.0,6.0,,,77.8,HIGH,1.0,2.63,False,0.6,0.0,0.0,4.2,ALIGNED
Michael Wacha,KC,SP,SP,Coop,Active,35.0,213.0,11.21,11.21,94.0,167.0,19.0,1.0,90.65,25.98,-64.67,11.21,2.94,119.1,98.96,1.19,7.25,0.63,0.0,-13.0,,,3.6,HIGH,1.0,10.28,False,0.6,0.0,0.0,,NO_CONSENSUS
Michael McGreevy,STL,SP,SP,JMerkle,Active,26.0,226.0,11.89,11.89,82.0,139.0,19.01,1.0,90.6,58.6,-32.0,11.89,3.62,108.0,94.39,1.1,5.92,0.68,0.0,5.0,,,27.8,MED,0.6,10.13,False,0.36,0.4,0.0,,NO_CONSENSUS
Mason Miller,SD,RP,RP,kyfaess,Active,27.0,283.0,7.26,7.26,99.0,47.0,38.98,1.0,90.48,80.76,-9.72,7.26,3.73,40.2,59.93,0.85,16.79,0.0,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Yandy Diaz,TB,UT,H,Sethmc44,Active,34.0,287.5,3.06,3.06,99.0,40.0,93.95,1.0,90.41,50.49,-39.93,3.06,0.61,,,,,,0.0,-5.0,,,36.9,HIGH,1.0,2.9,False,0.6,0.0,0.0,32.6,BUY_LOW
Peter Lambert,HOU,SP,SP,Sethmc44,Active,29.0,218.0,13.63,13.63,74.0,156.0,15.99,1.0,90.35,69.01,-21.34,13.63,5.36,92.0,86.79,1.11,8.9,0.44,0.0,0.0,,,,,,,,0.0,1.0,0.0,,
Robbie Ray,SF,SP,SP,Kipp,Active,34.0,214.0,10.7,10.7,96.0,166.0,20.0,1.0,90.35,34.98,-55.37,10.7,2.43,110.2,95.42,1.31,7.84,0.35,0.0,-6.0,,,7.9,HIGH,0.9,10.99,False,0.54,0.1,0.0,-18.9,SELL_HIGH
Logan Webb,SF,SP,SP,GoldTY,Active,29.0,196.0,11.53,11.53,99.0,201.0,17.0,1.0,90.31,57.12,-33.2,11.53,3.26,107.0,93.7,1.11,7.15,0.65,0.0,0.0,,,46.8,HIGH,1.0,13.01,False,0.6,0.0,0.0,-34.5,SELL_HIGH
Kyle Bradish,BAL,SP,SP,Coop,Active,29.0,204.0,10.74,10.74,97.0,179.0,18.99,1.0,90.15,60.81,-29.35,10.74,2.47,107.1,93.87,1.35,8.91,0.47,0.0,0.0,,,31.7,MED,0.48,11.5,False,0.288,0.52,0.0,-19.8,SELL_HIGH
Luis Arraez,SF,"1B,2B",H,Jpanner,Active,29.0,283.0,3.01,3.01,96.0,46.0,94.02,1.0,89.91,64.23,-25.68,3.01,0.56,,,,,,0.0,0.0,,,57.1,HIGH,1.0,2.68,False,0.6,0.0,0.0,48.7,BUY_LOW
Joey Cantillo,CLE,"SP,RP",SP/RP,Greenbet,Active,26.0,189.0,9.0,8.27,89.0,213.0,21.0,0.88,89.85,75.3,-14.55,8.27,0.0,106.0,93.44,1.42,9.51,0.19,0.0,5.0,,,,,,,,0.0,1.0,0.0,,
Liam Hicks,MIA,"C,1B",H,KRetiree,Active,27.0,271.0,3.04,3.04,90.0,65.0,89.14,1.0,89.83,64.72,-25.11,3.04,0.59,,,,,,0.0,6.0,,,47.6,HIGH,0.77,2.4,False,0.462,0.23,0.0,,NO_CONSENSUS
Zach Neto,LAA,SS,H,joeybats,Active,25.0,283.5,2.89,2.89,99.0,45.0,98.1,1.0,89.77,86.87,-2.9,2.89,0.44,,,,,,0.0,6.0,,,90.5,HIGH,1.0,2.93,False,0.6,0.0,0.0,1.5,ALIGNED
Freddie Freeman,LAD,1B,H,Sethmc44,Active,36.0,285.5,2.94,2.94,100.0,44.0,97.11,1.0,89.75,44.7,-45.05,2.94,0.49,,,,,,0.0,-12.0,,,32.1,HIGH,1.0,3.08,False,0.6,0.0,0.0,-44.2,SELL_HIGH
Shane McClanahan,TB,SP,SP,kyfaess,Active,29.0,198.0,11.0,11.0,97.0,195.0,18.0,1.0,89.55,71.94,-17.61,11.0,2.73,91.0,85.92,1.15,8.41,0.22,0.0,0.0,,,,,,,,0.0,1.0,0.0,,
Ivan Herrera,STL,C,H,Hutch,Active,26.0,278.0,2.84,2.84,97.0,54.0,97.89,1.0,89.47,84.67,-4.81,2.84,0.39,,,,,,0.0,6.0,,,87.3,HIGH,1.0,2.91,False,0.6,0.0,0.0,46.5,BUY_LOW
Cody Bellinger,NYY,OF,H,GoldTY,Active,31.0,282.5,2.91,2.91,99.0,48.0,97.08,1.0,89.19,79.04,-10.16,2.91,0.46,,,,,,0.0,0.0,,,81.7,HIGH,1.0,3.23,False,0.6,0.0,0.0,14.1,ALIGNED
Emerson Hancock,SEA,SP,SP,CLANK,Reserve,27.0,234.0,13.0,13.0,88.0,122.0,18.0,1.0,88.85,45.63,-43.22,13.0,4.73,99.1,90.16,1.01,8.54,0.5,0.0,5.0,,,12.3,HIGH,0.8,8.13,False,0.48,0.2,0.0,,NO_CONSENSUS
Ozzie Albies,ATL,2B,H,Sasso,Active,29.0,279.5,2.85,2.85,99.0,50.0,98.07,1.0,88.84,61.13,-27.72,2.85,0.4,,,,,,0.0,0.0,,,52.0,HIGH,1.0,2.64,False,0.6,0.0,0.0,15.9,BUY_LOW
Luis Garcia Jr.,WSH,"1B,2B",H,KRetiree,Active,26.0,271.5,2.95,2.95,96.0,64.0,92.03,1.0,88.83,71.78,-17.06,2.95,0.5,,,,,,0.0,6.0,,,66.3,HIGH,1.0,2.47,False,0.6,0.0,0.0,,NO_CONSENSUS
